Medicine_name,size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1mg_url
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,220,189,/otc/dr-willmar-schwabe-india-berberis-aquifolium-mother-tincture-q-otc390797
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,bottle of 10 ml Eye Drop,175,151,/otc/dr-willmar-schwabe-germany-cineraria-maritima-without-alcohol-eye-drop-otc326131
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),box of 1 Bottle,199,139,/otc/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each-otc632570
SBL Arnica Montana Herbal Shampoo with TJC,bottle of 200 ml Shampoo,170,146,/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329025
Boericke and Tafel Arnica Shampoo,pump bottle of 250 ml Shampoo,200,190,/otc/boericke-and-tafel-arnica-shampoo-otc418583
Dr. Reckeweg R78 Eye Care Drop,bottle of 22 ml Drop,270,242,/otc/dr.-reckeweg-r78-eye-care-drop-otc327376
Bjain Omeo Ear Drop,bottle of 15 ml Ear Drop,55,47,/otc/bjain-omeo-ear-drop-otc499451
Bakson's Vitamin D Plus Capsule,box of 50 capsules,250,225,/otc/bakson-s-vitamin-d-plus-capsule-otc325885
Hapdco Rheumacon Pain Relief Oil,bottle of 60 ml Oil,175,151,/otc/hapdco-rheumacon-pain-relief-oil-otc659823
Fourrts Gum Forte Gel Homoeopathic Toothpaste,tube of 100 gm Gel,100,90,/otc/fourrts-gum-forte-gel-homoeopathic-toothpaste-otc226835
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 2 bottles,398,279,/otc/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each-otc632571
SBL Jaborandi Hair Oil,bottle of 200 ml Oil,270,201,/otc/sbl-jaborandi-hair-oil-otc329035
SBL Cineraria Maritima 10% Eye Drop,bottle of 10 ml Eye Drop,135,117,/otc/sbl-cineraria-maritima-10-eye-drop-otc329014
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,bottle of 25 ml Drop,550,492,/otc/adel-diacard-gold-madaus-drop-homeopathic-medicine-otc326050
Bjain Guatteria Gaumeri Drop,bottle of 30 ml Drop,365,314,/otc/bjain-guatteria-gaumeri-drop-otc327159
Bjain Guatteria Gaumeri Drop,bottle of 30 ml Drop,365,314,/otc/bjain-guatteria-gaumeri-drop-otc327159
SBL Sarracenia Purpurea Dilution 1000 CH,bottle of 30 ml Dilution,140,120,/otc/sbl-sarracenia-purpurea-dilution-1000-ch-otc358168
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,185,160,/otc/dr.-reckeweg-calcarea-phosphorica-biochemic-tablet-6x-otc325463
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 3 bottles,597,418,/otc/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each-otc632572
Dr. Reckeweg R41 Sexual Neurasthenia Drop,bottle of 22 ml Drop,270,229,/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-otc327434
Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,310,267,/otc/dr.-reckeweg-r89-hair-care-drop-otc326064
Bakson's Y-Lax Tablet,bottle of 75 tablets,215,206,/otc/bakson-s-y-lax-tablet-otc400769
Bjain Avena Sativa Mother Tincture Q,bottle of 100 ml Mother Tincture,195,168,/otc/bjain-avena-sativa-mother-tincture-q-otc444434
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,190,171,/otc/dr-willmar-schwabe-india-thyroidinum-trituration-tablet-3x-otc324953
SBL Stobal Cough Syrup,bottle of 180 ml Syrup,175,132,/otc/sbl-stobal-cough-syrup-otc328988
Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 20 ml Mother Tincture,255,224,/otc/dr.-reckeweg-berberis-vul-mother-tincture-q-otc327784
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 4 bottles,796,557,/otc/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each-otc716046
Dr. Reckeweg R73 Joint Pain Drop,bottle of 22 ml Drop,270,212,/otc/dr.-reckeweg-r73-joint-pain-drop-otc327364
Bakson's Y-Lax Tablet,bottle of 200 tablets,500,410,/otc/bakson-s-y-lax-tablet-otc648470
Dr Willmar Schwabe India Damiaplant Drop,bottle of 30 ml Drop,425,361,/otc/dr-willmar-schwabe-india-damiaplant-drop-otc325889
Bjain Omeo Mouth Ulcer Tablet,bottle of 25 gm Tablet,155,136,/otc/bjain-omeo-mouth-ulcer-tablet-otc328713
SBL Arnica Montana Hair Oil with Tjc,bottle of 200 ml Oil,160,121,/otc/sbl-arnica-montana-hair-oil-with-tjc-otc330951
Bakson's Throat Aid Tablet,bottle of 75 tablets,215,185,/otc/bakson-s-throat-aid-tablet-otc325990
SBL Scalptone Tablet,bottle of 25 gm Tablet,165,140,/otc/sbl-scalptone-tablet-otc326111
Bjain Omeo Allergy Tablet,bottle of 25 gm Tablet,155,124,/otc/bjain-omeo-allergy-tablet-otc425132
SBL Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,100,89,/otc/sbl-nux-vomica-dilution-30-ch-otc338194
SBL Clearstone Drop,bottle of 30 ml Drop,165,140,/otc/sbl-clearstone-drop-otc326121
